Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Well of Ascension,Brandon Sanderson,Michael Kramer (Narrator),9781427220295,audio,read,2024/08/22,2024/07,2024/07-2024/07,1,"",,"","","","","",4.25,"","","","",No
The Sun and the Star,Rick Riordan,"Mark Oshiro, A.J. Beckles (Narrator)",B0C1T9D8TG,audio,read,2024/09/18,2024/09/18,2024/09/17-2024/09/18,1,"",,"","","","","",3.0,"","","","",No
Knife of Dreams,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",B000BQ7BKK,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
The Covenant of Water,Abraham Verghese,"",9780802162182,digital,to-read,2024/11/02,"","",0,"",,,,,,,,,"",,"",No
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,"","",audio,read,2024/08/27,2024/08/26,2024/08/25-2024/08/26,1,"",,,,,,,4.0,"","","","",No
The Alloy of Law,Brandon Sanderson,Michael Kramer (Narrator),9781427221049,audio,read,2024/08/22,2024/08/11,2024/08-2024/08/11,1,"",,"","","","","",3.5,"","","","",No
Catalyst Gate,Megan E. O'Keefe,Joe Jameson (Narrator),9781549136542,audio,read,2024/10/09,2024/10/07,2024/10/05-2024/10/07,1,"",,"","","","","",3.75,"","","","",No
Project Hail Mary,Andy Weir,"",9780593135204,hardcover,to-read,2024/09/16,"","",0,"",,,,,,,,,"",,"",No
Go Ahead in the Rain: Notes to a Tribe Called Quest,Hanif Abdurraqib,Ron Butler (Narrator),9781974951635,audio,read,2024/11/06,2024/11/05,2024/11/05-2024/11/05,1,"",,,,,,,3.75,"","","","",Yes
Lord of Chaos,Robert Jordan,"",9781593976835,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
Winter's Heart,Robert Jordan,"Michael Kramer (Narrator), Kate Reading (Narrator)",9781427210876,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
The Will of the Many,James Islington,"",9781982141172,hardcover,to-read,2024/08/27,"","",0,"",,,,,,,,,"",,"",No
The Autobiography of Malcolm X: As Told to Alex Haley,"Alex Haley, Malcolm X","",9781713530695,audio,read,2024/09/11,2024/09/11,2024/09/10-2024/09/11,1,"",,,,,,,4.0,"","","","",No
The Dragon Reborn,Robert Jordan,"Michael Kramer (Narrator), Kate Reading (Narrator)",B0006IU3BC,audio,read,2024/10/19,2024/10/23,2024/10/17-2024/10/23,1,"",,"","","","","",3.75,"","","","",No
A Memory of Light ,"Robert Jordan, Brandon Sanderson","Kate Reading (Narrator), Michael Kramer (Narrator)",9781427210258,audio,to-read,2024/11/24,"","",0,"",,,,,,,,,"",,"",No
Yellowface,R.F. Kuang,Helen Laser (Narrator),9780063250864,audio,read,2024/10/29,2024/10/28,2024/10/28-2024/10/28,1,"",,"","","","","",4.0,"","","","",No
