Publisher Name,Series Name,Full Title,Release Date,My Rating
First Second Books,American Born Chinese (2006),American Born Chinese TP,2006-03-01,
Marvel Comics,Astonishing X-Men (Vol. 3) (2004 - 2013),Astonishing X-Men Vol. 1: Gifted TP,2004-12-15,
DC Comics,Batgirls (2021 - 2023),Batgirls #13,2022-12-13,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #135,2023-05-02,
DC Comics,Batman: The Dark Knight Returns (1986),Batman: The Dark Knight Returns TP,2014-03-07,
DC Comics,Batman: The Killing Joke (1988),Batman: The Killing Joke – The Deluxe Edition HC,2008-03-19,
Marvel Comics,Damage Control (Vol. 4) (2022),Damage Control #1,2022-08-24,
DC Comics,Dark Crisis on Infinite Earths (2022),Dark Crisis on Infinite Earths #0,2022-05-07,
DC Comics,Dark Knights of Steel (2021 - 2023),Dark Knights of Steel Vol. 1 HC,2022-09-20,
DC Comics,Dawn of DC Primer (2023),Dawn of DC Primer Special Edition #1,2023-05-16,
DC Comics,Dawn of DC: We Are Legends Special Edition (2023),Dawn of DC: We Are Legends Special Edition #1,2023-05-02,
Dark Horse Comics,Dawnrunner (2024),Dawnrunner #2 Cover D 1:10 Evan Cagle Red Foil Logo on Line Art Variant,2024-04-24,4.0
DC Comics,Detective Comics (Vol. 3) (2016 - Present),Detective Comics #1084,2024-04-23,
Marvel Comics,The Eternals (Vol. 2) (1985 - 1986),The Eternals #1,1985-10-01,
Marvel Comics,Fantastic Four (Vol. 1) (1961 - 1996),Fantastic Four #323,1988-10-25,
Dark Horse Comics,Free Comic Book Day 2022: Avatar: The Last Airbender / The Legend of Korra (2022),Free Comic Book Day 2022: Avatar: The Last Airbender / The Legend of Korra #1,2022-05-07,
Yen Press,Free Comic Book Day 2022: Enemies (2022),Free Comic Book Day 2022: Enemies #1,2022-05-07,
DC Comics,Free Comic Book Day 2022: Galaxy  - The Prettiest Star Special Edition (2022),Free Comic Book Day 2022: Galaxy - The Prettiest Star Special Edition #1,2022-05-07,
Marvel Comics,Free Comic Book Day 2022: Marvel's Voices (2022),Free Comic Book Day 2022: Marvel's Voices #1,2022-05-07,
IDW Publishing,Free Comic Book Day 2022: Sonic The Hedgehog (2022),Free Comic Book Day 2022: Sonic The Hedgehog #1,2022-05-07,
Marvel Comics,Free Comic Book Day 2022: Spider-Man / Venom (2022),Free Comic Book Day 2022: Spider-Man / Venom #1,2022-05-07,
IDW Publishing,Free Comic Book Day 2022: Teenage Mutant Ninja Turtles (2022),Free Comic Book Day 2022: Teenage Mutant Ninja Turtles #1,2022-05-07,
Tokyopop,Free Comic Book Day 2022: The Guardian of Fukushima (2022),Free Comic Book Day 2022: The Guardian of Fukushima #1,2022-05-07,
Ablaze,Free Comic Book Day 2023: Animal Castle (2023),Free Comic Book Day 2023: Animal Castle #1,2023-05-06,
DC Comics,Free Comic Book Day 2023: Dawn of DC - Knight Terrors (2023),Free Comic Book Day 2023: Dawn of DC - Knight Terrors #1,2023-05-06,
Fantagraphics Books,Free Comic Book Day 2023: Fabulous Furry Freak Brothers (2023),Free Comic Book Day 2023: Fabulous Furry Freak Brothers #1,2023-05-06,
Image Comics,Free Comic Book Day 2023: Fishflies (2023),Free Comic Book Day 2023: Fishflies #1,2023-05-06,
Opus Comics,Free Comic Book Day 2023: FrazettaVerse (2023),Free Comic Book Day 2023: FrazettaVerse #1,2023-05-06,
Marvel Comics,Free Comic Book Day 2023: Marvel's Voices (2023),Free Comic Book Day 2023: Marvel's Voices #1,2023-05-06,
BOOM! Studios,Free Comic Book Day 2023: Ranger Academy (2023),Free Comic Book Day 2023: Ranger Academy #1,2023-05-06,
Kodansha,Free Comic Book Day 2023: Shaman King Flowers & Welcome To Demon School (2023),Free Comic Book Day 2023: Shaman King Flowers & Welcome To Demon School! Iruma-kun #1,2023-05-06,
Marvel Comics,Free Comic Book Day 2023: Spider-Man / Venom (2023),Free Comic Book Day 2023: Spider-Man / Venom #1,2023-05-06,
Image Comics,Free Comic Book Day 2023: The Sacrificers (2023),Free Comic Book Day 2023: The Sacrificers #1,2023-05-06,
Dark Horse Comics,Free Comic Book Day 2023: The Umbrella Academy & The Witcher (2023),Free Comic Book Day 2023: The Umbrella Academy & The Witcher #1,2023-05-06,
Vault Comics,Free Comic Book Day 2023: West Of Sundown (2023),Free Comic Book Day 2023: West Of Sundown #1,2023-05-06,
DC Comics,Free Comic Book Day 2024: Absolute Power Special Edition (2024),Free Comic Book Day 2024: Absolute Power Special Edition #1,2024-05-04,
Marvel Comics,Free Comic Book Day 2024: Blood Hunt / X-Men (2024),Free Comic Book Day 2024: Blood Hunt / X-Men #1,2024-05-04,
Image Comics,Free Comic Book Day 2024: Energon Universe 2024 Special (2024),Free Comic Book Day 2024: Energon Universe 2024 Special #1,2024-05-04,
Dark Horse Comics,Free Comic Book Day 2024: Hellboy / Stranger Things (2024),Free Comic Book Day 2024: Hellboy / Stranger Things #1,2024-05-04,
Marvel Comics,Free Comic Book Day 2024: Star Wars / Darth Vader (2024),Free Comic Book Day 2024: Star Wars / Darth Vader #1,2024-05-04,
IDW Publishing,Free Comic Book Day 2024: Teenage Mutant Ninja Turtles (Vol. 1) (2024),Free Comic Book Day 2024: Teenage Mutant Ninja Turtles #1,2024-05-04,
BOOM! Studios,Free Comic Book Day 2024: The Worlds of James Tynion IV (Vol. 1) (2024),Free Comic Book Day 2024: The Worlds of James Tynion IV #1,2024-05-04,
Marvel Comics,Free Comic Book Day 2024: Ultimate Universe / Spider-Man (2024),Free Comic Book Day 2024: Ultimate Universe / Spider-Man #1,2024-05-04,
Image Comics,Head Lopper (2015 - 2021),Head Lopper Vol. 1: The Island or A Plague of Beasts TP,2016-10-05,
BOOM! Studios,Hollow (2022),Free Comic Book Day 2022: Hollow,2022-05-07,
Marvel Comics,Hulkling & Wiccan (Vol. 1) (2022),Hulkling & Wiccan #1 Luciano Vecchio Variant,2022-06-15,
Marvel Comics,Moon Girl and Devil Dinosaur (Vol. 1) (2015 - 2019),Moon Girl and Devil Dinosaur Vol. 8: Yancy Street Legends TP,2019-12-18,
Marvel Comics,Moon Knight (Vol. 8) (2021 - 2023),Moon Knight Annual #1 Nic Klein Variant,2022-10-26,
Marvel Comics,"Moon Knight: Black, White & Blood (2022)","Moon Knight: Black, White & Blood #2 Dustin Weaver Variant",2022-06-15,
Marvel Comics,"Moon Knight: Black, White & Blood (2022)","Moon Knight: Black, White & Blood #3",2022-07-20,
Marvel Comics,Ms. Marvel (Vol. 3) (2014 - 2015),Ms. Marvel Vol. 1: No Normal TP,2014-10-15,
Marvel Comics,Ms. Marvel & Moon Knight (2022),Ms. Marvel & Moon Knight #1 Peach Momoko Variant,2022-08-17,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #90,2022-03-15,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #91,2022-04-19,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #92,2022-05-17,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #93,2022-06-21,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #95,2022-08-16,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #96,2022-09-20,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #97,2022-10-18,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing #98,2022-11-15,
DC Comics,Nightwing (Vol. 4) (2016 - Present),Nightwing Vol. 1: Leaping Into the Light HC,2021-12-14,
Pantheon Books,Persepolis (2007),Persepolis: The Story of a Childhood TP,2004-06-01,
DC Comics,Robin (Vol. 3) (2021 - 2022),Robin #15 Cover D Lynne Yoshii DC Pride Card Stock Variant,2022-06-28,
Image Comics,Saga (2012 - Present),Saga Vol. 9 TP,2018-09-26,
DC Comics,"Shade, The Changing Girl (2016 - 2017)","Shade, The Changing Girl Vol. 1: Earth Girl Made Easy TP",2017-07-12,
Pantheon Books,Shubeik Lubeik (2023),Shubeik Lubeik HC,2023-01-10,
Marvel Comics,Spider-Man (Vol. 2) (2016 - 2018),Spider-Man: Miles Morales Vol. 1 TP,2016-09-07,
DC Comics,Super Sons (Vol. 1) (2017 - 2018),Super Sons Vol. 1: When I Grow Up... TP,2017-10-11,
DC Comics,Supergirl: Woman of Tomorrow (2021 - 2022),Supergirl: Woman of Tomorrow TP,2022-07-26,
IDW Publishing,Teenage Mutant Ninja Turtles: Sourcebook (2024 - Present),Teenage Mutant Ninja Turtles: Sourcebook #1,2024-02-21,
IDW Publishing,Teenage Mutant Ninja Turtles: The Last Ronin (2020 - 2022),Teenage Mutant Ninja Turtles: The Last Ronin HC,2022-06-29,
DC Comics,Titans (Vol. 4) (2023 - Present),Titans #1 Cover B Jim Lee Card Stock Variant,2023-05-16,
Image Comics,Transformers (2023 - Present),Transformers #1,2023-10-04,
Dark Horse Comics,The True Lives of the Fabulous Killjoys (2013 - 2014),The True Lives of the Fabulous Killjoys TP,2014-04-30,
BOOM! Studios,We Only Find Them When They're Dead (2020 - 2022),We Only Find Them When They're Dead Book One: The Seeker TP,2021-05-05,
DC Comics,World's Finest: Teen Titans (2023),World's Finest: Teen Titans #3,2023-09-12,
DC Comics,Batgirls (2021 - 2023),Batgirls #14,2023-01-17,
Marvel Comics,Fallen Friend: The Death of Ms. Marvel (2023),Fallen Friend: The Death of Ms. Marvel #1,2023-07-12,5.0
Marvel Comics,Immoral X-Men (2023),Immoral X-Men #3,2023-04-05,5.0
Marvel Comics,A.X.E.: Avengers (2022),A.X.E.: Avengers #1,2022-09-28,
Marvel Comics,A.X.E.: Death to the Mutants (2022),A.X.E.: Death to the Mutants #1,2022-08-17,
Marvel Comics,A.X.E.: Death to the Mutants (2022),A.X.E.: Death to the Mutants #2,2022-09-07,
Marvel Comics,A.X.E.: Death to the Mutants (2022),A.X.E.: Death to the Mutants #3,2022-10-12,
Marvel Comics,A.X.E.: Eternals (2022),A.X.E.: Eternals #1,2022-10-12,
Marvel Comics,A.X.E.: Eve of Judgment (2022),A.X.E.: Eve of Judgment #1,2022-07-13,
Marvel Comics,A.X.E.: Judgment Day (2022),A.X.E.: Judgment Day #1,2022-07-20,
Marvel Comics,A.X.E.: Judgment Day (2022),A.X.E.: Judgment Day #2,2022-08-10,
Marvel Comics,A.X.E.: Judgment Day (2022),A.X.E.: Judgment Day #3,2022-08-24,
Marvel Comics,A.X.E.: Judgment Day (2022),A.X.E.: Judgment Day #4,2022-09-14,
Marvel Comics,A.X.E.: Judgment Day (2022),A.X.E.: Judgment Day #5,2022-09-21,
Marvel Comics,A.X.E.: Judgment Day (2022),A.X.E.: Judgment Day #6,2022-10-26,
Marvel Comics,A.X.E.: Judgment Day Omega (2022),A.X.E.: Judgment Day Omega #1,2022-11-09,
Marvel Comics,A.X.E.: Starfox (2022),A.X.E.: Starfox #1,2022-10-05,
Marvel Comics,A.X.E.: X-Men (2022),A.X.E.: X-Men #1,2022-10-05,
DC Comics,Absolute Batman (2024 - Present),Absolute Batman #1,2024-10-09,5.0
DC Comics,Absolute Batman (2024 - Present),Absolute Batman #2,2024-11-13,4.0
DC Comics,Absolute Power (2024),Absolute Power #1,2024-07-03,
DC Comics,Absolute Power (2024),Absolute Power #2,2024-08-07,4.0
DC Comics,Absolute Power (2024),Absolute Power #3,2024-09-04,4.0
DC Comics,Absolute Power (2024),Absolute Power #4,2024-10-02,4.0
DC Comics,Absolute Power: Ground Zero (2024),Absolute Power: Ground Zero #1,2024-06-25,
DC Comics,Absolute Power: Super Son (2024),Absolute Power: Super Son #1,2024-09-18,3.0
DC Comics,Absolute Superman (2024 - Present),Absolute Superman #1,2024-11-06,4.0
DC Comics,Action Comics (Vol. 3) (2016 - Present),Action Comics #1070,2024-10-09,4.0
DC Comics,Action Comics (Vol. 3) (2016 - Present),Action Comics #1071,2024-10-16,4.0
DC Comics,Action Comics (Vol. 3) (2016 - Present),Action Comics #1072,2024-10-23,4.0
DC Comics,Action Comics (Vol. 3) (2016 - Present),Action Comics #1073,2024-10-30,3.0
DC Comics,Action Comics (Vol. 3) (2016 - Present),Action Comics #1074,2024-11-06,4.0
DC Comics,All-Star Superman (2005 - 2008),All-Star Superman TP Black Label Edition,2018-11-28,
Marvel Comics,Amazing Fantasy (Vol. 5) (2022),Amazing Fantasy #1000,2022-08-31,
Dark Horse Comics,ApocalyptiGirl: An Aria for the End Times (2015),ApocalyptiGirl: An Aria for the End Times HC,2020-03-04,
DC Comics,Aquaman: Andromeda (2022),Aquaman: Andromeda #1,2022-06-07,
DC Comics,Aquaman: Andromeda (2022),Aquaman: Andromeda #2,2022-08-02,
DC Comics,Aquaman: Andromeda (2022),Aquaman: Andromeda #3,2022-10-18,
DC Comics,Batgirl (Vol. 6) (2024 - Present),Batgirl #1,2024-11-06,4.0
DC Comics,Batgirls (2021 - 2023),Batgirls 2022 Annual,2022-11-29,
DC Comics,Batgirls (2021 - 2023),Batgirls #1,2021-12-14,
DC Comics,Batgirls (2021 - 2023),Batgirls #2,2022-01-11,
DC Comics,Batgirls (2021 - 2023),Batgirls #3,2022-02-08,
DC Comics,Batgirls (2021 - 2023),Batgirls #4,2022-03-08,
DC Comics,Batgirls (2021 - 2023),Batgirls #5,2022-04-12,
DC Comics,Batgirls (2021 - 2023),Batgirls #6,2022-05-10,
DC Comics,Batgirls (2021 - 2023),Batgirls #7,2022-06-14,
DC Comics,Batgirls (2021 - 2023),Batgirls #8,2022-07-12,
DC Comics,Batgirls (2021 - 2023),Batgirls #9,2022-08-09,
DC Comics,Batgirls (2021 - 2023),Batgirls #10,2022-09-13,
DC Comics,Batgirls (2021 - 2023),Batgirls #11,2022-10-11,
DC Comics,Batgirls (2021 - 2023),Batgirls #12,2022-11-08,
DC Comics,Batgirls (2021 - 2023),Batgirls #15,2023-02-14,
DC Comics,Batgirls (2021 - 2023),Batgirls #16,2023-03-14,
DC Comics,Batgirls (2021 - 2023),Batgirls #17,2023-04-18,
DC Comics,Batgirls (2021 - 2023),Batgirls #18,2023-05-16,
DC Comics,Batgirls (2021 - 2023),Batgirls #19,2023-06-20,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #125,2022-07-05,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #126,2022-08-02,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #127,2022-09-06,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #128,2022-10-04,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #129,2022-11-01,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #130,2022-12-06,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #131,2023-01-03,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #132,2023-02-07,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #133,2023-03-07,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #134,2023-04-04,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #136,2023-06-06,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #137,2023-09-05,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #138,2023-10-03,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #139,2023-11-07,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #140,2023-12-05,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #141,2024-01-02,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #142,2024-02-06,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #143,2024-02-13,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #144,2024-02-20,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #145,2024-03-05,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #146,2024-04-02,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #147,2024-05-07,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #148,2024-06-04,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #149,2024-06-18,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #150,2024-07-03,
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #151,2024-08-07,4.0
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #152,2024-09-04,4.0
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #153,2024-10-02,4.0
DC Comics,Batman (Vol. 3) (2016 - Present),Batman #154,2024-11-06,4.0
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 1: The Court of Owls TP,2013-03-20,
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 2: The City of Owls TP,2013-10-09,
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 3: Death of the Family TP,2014-05-07,
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 4: Zero Year - Secret City TP,2014-10-01,
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 5: Zero Year - Dark City TP,2015-04-29,
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 6: Graveyard Shift TP,2015-09-30,
DC Comics,Batman (Vol. 2) (2011 - 2016),Batman Vol. 7: Endgame TP,2016-03-16,
DC Comics,Batman / Catwoman: Prelude to Gotham War (2023),Batman / Catwoman: Prelude to Gotham War #1,2023-09-16,
DC Comics,Batman / Catwoman: The Gotham War - Battle Lines (2023),Batman / Catwoman: The Gotham War - Battle Lines #1,2023-08-29,
DC Comics,Batman / Catwoman: The Gotham War - Red Hood (2023),Batman / Catwoman: The Gotham War - Red Hood #1,2023-09-26,
DC Comics,Batman / Catwoman: The Gotham War - Red Hood (2023),Batman / Catwoman: The Gotham War - Red Hood #2,2023-10-24,
DC Comics,Batman / Catwoman: The Gotham War – Scorched Earth (2023),Batman / Catwoman: The Gotham War – Scorched Earth #1,2023-10-31,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #1,2022-03-15,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #2,2022-04-19,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #3,2022-05-17,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #4,2022-06-21,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #5,2022-07-19,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #6,2022-08-16,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #7,2022-09-20,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #8,2022-10-18,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #9,2022-11-15,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #10,2022-12-20,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #11,2023-01-17,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #12,2023-02-21,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #13,2023-03-21,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #14,2023-04-18,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #15,2023-05-16,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #16,2023-06-20,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #17,2023-07-18,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #18,2023-08-15,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #19,2023-09-19,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #20,2023-10-17,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #21,2023-11-21,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #22,2023-12-19,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #23,2024-01-16,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #24,2024-02-20,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #25,2024-03-19,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #26,2024-04-16,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #27,2024-05-21,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #28,2024-06-18,
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #29,2024-07-17,5.0
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #30,2024-08-21,4.0
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #31,2024-09-18,4.0
DC Comics,Batman / Superman: World's Finest (2022 - Present),Batman / Superman: World's Finest #32,2024-10-16,4.0
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin 2024 Annual,2024-01-30,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #1,2023-09-12,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #2,2023-10-10,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #3,2023-11-14,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #4,2023-12-12,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #5,2024-01-09,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #6,2024-02-13,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #7,2024-03-12,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #8,2024-04-09,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #9,2024-05-14,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #10,2024-06-11,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #11,2024-07-10,
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #12,2024-08-14,4.0
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #13,2024-09-11,4.0
DC Comics,Batman and Robin (Vol. 3) (2023 - Present),Batman and Robin #14,2024-10-09,4.0
DC Comics,Batman and Robin: Year One (2024 - Present),Batman and Robin: Year One #1,2024-10-16,4.0
DC Comics,Batman Beyond: Neo-Gothic (2023),Batman Beyond: Neo-Gothic #1,2023-07-25,
DC Comics,Batman Beyond: Neo-Gothic (2023),Batman Beyond: Neo-Gothic #2,2023-08-22,
DC Comics,Batman Beyond: Neo-Gothic (2023),Batman Beyond: Neo-Gothic #3,2023-09-26,
DC Comics,Batman Beyond: Neo-Gothic (2023),Batman Beyond: Neo-Gothic #4,2023-10-24,
DC Comics,Batman Beyond: Neo-Gothic (2023),Batman Beyond: Neo-Gothic #5,2023-11-28,
DC Comics,Batman Beyond: Neo-Gothic (2023),Batman Beyond: Neo-Gothic #6,2023-12-26,
DC Comics,Batman Beyond: Neo-Year (2022),Batman Beyond: Neo-Year #1,2022-04-05,
DC Comics,Batman Beyond: Neo-Year (2022),Batman Beyond: Neo-Year #2,2022-05-03,
DC Comics,Batman Beyond: Neo-Year (2022),Batman Beyond: Neo-Year #3,2022-06-07,
DC Comics,Batman Beyond: Neo-Year (2022),Batman Beyond: Neo-Year #4,2022-07-05,
DC Comics,Batman Beyond: Neo-Year (2022),Batman Beyond: Neo-Year #5,2022-08-02,
DC Comics,Batman Beyond: Neo-Year (2022),Batman Beyond: Neo-Year #6,2022-09-06,
DC Comics,Batman by Jeph Loeb and Tim Sale (2018),Batman By Jeph Loeb and Tim Sale Omnibus HC,2018-09-05,
DC Comics,Batman vs. Robin (2022 - 2023),Batman vs. Robin #1,2022-09-13,
DC Comics,Batman vs. Robin (2022 - 2023),Batman vs. Robin #2,2022-10-11,
DC Comics,Batman vs. Robin (2022 - 2023),Batman vs. Robin #3,2022-11-08,
DC Comics,Batman vs. Robin (2022 - 2023),Batman vs. Robin #4,2022-12-20,
DC Comics,Batman vs. Robin (2022 - 2023),Batman vs. Robin #5,2023-02-28,
DC Comics,Batman: Ego (2000),Batman: Ego and Other Tails HC,2007-06-20,
DC Comics,Batman: One Dark Knight (2021 - 2022),Batman: One Dark Knight #1,2021-12-21,
DC Comics,Batman: One Dark Knight (2021 - 2022),Batman: One Dark Knight #2,2022-03-29,
DC Comics,Batman: One Dark Knight (2021 - 2022),Batman: One Dark Knight #3,2022-07-26,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #1,2023-05-16,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #2,2023-06-27,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #3,2023-07-25,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #4,2023-08-22,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #5,2023-09-26,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #6,2023-10-24,
DC Comics,Batman: The Brave and the Bold (Vol. 3) (2023 - Present),Batman: The Brave and the Bold #7,2023-11-28,
DC Comics,Batman: The Knight (2022),Batman: The Knight #1,2022-01-18,
DC Comics,Batman: The Knight (2022),Batman: The Knight #2,2022-02-15,
DC Comics,Batman: The Knight (2022),Batman: The Knight #3,2022-03-15,
DC Comics,Batman: The Knight (2022),Batman: The Knight #4,2022-04-19,
DC Comics,Batman: The Knight (2022),Batman: The Knight #5,2022-05-17,
DC Comics,Batman: The Knight (2022),Batman: The Knight #6,2022-06-21,
DC Comics,Batman: The Knight (2022),Batman: The Knight #7,2022-07-19,
DC Comics,Batman: The Knight (2022),Batman: The Knight #8,2022-08-16,
DC Comics,Batman: The Knight (2022),Batman: The Knight #9,2022-09-20,
DC Comics,Batman: The Knight (2022),Batman: The Knight #10,2022-10-18,
Marvel Comics,Beta Ray Bill (2021),Beta Ray Bill #1,2021-03-31,
Marvel Comics,Beta Ray Bill (2021),Beta Ray Bill #2,2021-04-28,
Marvel Comics,Beta Ray Bill (2021),Beta Ray Bill #3,2021-05-26,
Marvel Comics,Beta Ray Bill (2021),Beta Ray Bill #4,2021-06-30,
Marvel Comics,Beta Ray Bill (2021),Beta Ray Bill #5,2021-07-28,
BOOM! Studios,Briar (2022 - 2024),Briar #1,2022-09-28,
BOOM! Studios,Briar (2022 - 2024),Briar #2,2022-11-30,
BOOM! Studios,Briar (2022 - 2024),Briar #3,2023-02-01,
BOOM! Studios,Briar (2022 - 2024),Briar #4,2023-04-12,
BOOM! Studios,Briar (2022 - 2024),Briar #5,2024-05-15,4.0
BOOM! Studios,Briar (2022 - 2024),Briar #6,2024-06-19,5.0
BOOM! Studios,Briar (2022 - 2024),Briar #7,2024-07-17,5.0
BOOM! Studios,Briar (2022 - 2024),Briar #8,2024-08-21,5.0
Drawn and Quarterly,Bumperhead (2014),Bumperhead HC,2014-09-24,4.0
DC Comics,Catwoman (Vol. 5) (2018 - Present),Catwoman #57,2023-09-19,
DC Comics,Catwoman (Vol. 5) (2018 - Present),Catwoman #58,2023-10-17,
DC Comics,Catwoman: Selina's Big Score (2002),Catwoman: Selina's Big Score HC,2002-07-31,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #1,2020-10-07,
Marvel Comics,Champions (Vol. 4) (2020 - 2021),Champions #2,2020-11-11,
